fasta_file	gene_startswith	species	label	order	family	common name	division/clade
30: Salvinia_cucullata.protein.highconfidence_v1.2.fasta	Sacu_v1.1_	Salvinia cucullata	basal-nonflower	Salviniales	Salviniaceae	watermoss	Polypodiophyta
32: Sitalica_312_v2.2.protein_primaryTranscriptOnly.fa.mod.fa	Seita	Setaria italica	monocot	Poales	Poaceae	fostail millet	Commelinids
37: Sviridis_500_v2.1.protein_primaryTranscriptOnly.fa.mod.fa	Sevir	Setaria viridis	monocot	Poales	Poaceae	green foxtail	Commelinids
31: Sfallax_522_v1.1.protein_primaryTranscriptOnly.fa.mod.fa	Sphfalx	Sphagnum fallax	basal-nonflower	Sphagnales	Sphagnaceae	flat-topped bogmoss	Bryophyta
34: Spolyrhiza_290_v2.protein_primaryTranscriptOnly.fa.mod.fa	Spipo	Spirodela polyrhiza	monocot	Alismatales	Araceae	duckweed	Monocot
35: Streptochaeta_maker_max_proteins_V1.fasta.mod.fa	STRANG_	Streptochaeta angustifolia	monocot	Poales	Poaceae	Streptochaeta	Commelinids
38: Tcacao_233_v1.1.protein_primaryTranscriptOnly.fa.mod.fa	Thecc	Theobroma cacao	dicot	Malvales	Malvaceae	cocoa	Rosid
33: Smoellendorffii_91_v1.0.protein_primaryTranscriptOnly.fa.mod.fa	XXXXXX or XXXXX	Selaginella moellendorffii 	basal-nonflower	Selaginellales	Selaginellaceae	spike moss	Lycophytes
ZmaysPH207_443_v1.1	Zm	Zea mays	monocot	Poales	Poaceae	maize	Commelinids
Zmarina_324_v2.2	Zosma	Zostera marina	monocot	Alismatales	Zosteraceae	sea grass	Monocot
